enabled,name,initStart,initEnd,extabStart,extabEnd,extabindexStart,extabindexEnd,textStart,textEnd,ctorsStart,ctorsEnd,dtorsStart,dtorsEnd,rodataStart,rodataEnd,dataStart,dataEnd,bssStart,bssEnd,sdataStart,sdataEnd,sbssStart,sbssEnd,sdata2Start,sdata2End,sbss2Start,sbss2End
1,dwc_error.c,,,,,,,0x800CCB4C,0x800CCC80,,,,,,,0x80275700,0x80275758,,,,,0x803862A8,0x803862B0,,,,
1,rvlArchive.c,,,,,,,0x80124500,0x80124E80,,,,,,,0x8027E708,0x8027E772,,,0x803857F0,0x803857F6,,,,,,
,rxFrameHeap.c,,,,,,,80199430,801998A4,,,,,,,,,,,,,,,,,,
1,rvlMemList.c,,,,,,,0x80199BF0,0x80199D04,,,,,,,,,,,,,,,,,,
1,eggAllocator.cpp,,,,,,,0x8020F62C,0x8020F6EC,,,,,,,802A2668,802A2680 ,,,,,,,,,,
1,eggArchive.cpp,,,,,,,8020F6EC,0x8020FCC4,,,,,,,802A2680,802A268C,803832D8,0x803832E4,,,80386D80,80386D84,,,,
1,eggDisposer.cpp,,,,,,,8021A0F0,8021A1B8,,,,,,,802A2B48,802A2B54 ,,,,,,,,,,
1,eggGraphicsFifo.cpp,,,,,,,80229540,802296A8,,,,,,,802A30B0,802A30BC,,,,,0x80386E90,0x80386E99,,,,
1,eggHeap.cpp,,,,,,,802296A8,80229FAC,,,,,80257740,80257824,802A30C0,0x802a30ec,80384320,0x80384348,,,80386EA0,80386EC0,80388D68 ,80388D80,,
1,eggQuat.cpp,,,,,,,80239DFC,0x80239E10,,,,,,,,,,,,,,,,,,
0,eggScene.cpp,,,,,,,8023AD10,8023ADDC,,,,,,,,,,,,,,,,,,
1,eggStreamDecomp.cpp,,,,,,,80242498,80242504,,,,,,,802A3F78,802A3F90,,,,,,,,,,
,eggSystem.cpp,,,,,,,,,,,,,,,,,,,,,80386F60,80386F64,,,,
1,eggThread.cpp,,,,,,,0x802432E0 ,0x80243754,,,,,,,0x802A3FC0,0x802A3FD8,0x80384B60,0x80384B6C ,,,,,,,,
1,eggVector.cpp,,,,,,,0x80243A00,0x80243D18,0x80244E88,0x80244E8C,,,,,,,80384B70,80384BF4,,,80386F78,80386F90,803890F8 ,80389104,,
,eggXfb.cpp,,,,,,,80244160,80244200,,,,,,,,,,,,,,,,,,
,eggXfbManager.cpp,,,,,,,80244200,802443AC,,,,,,,,,,,,,,,,,,
